Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Expected_ROI,ROI_Deviation
2554,DataTech Solutions,Email,All Ages,30 days,Website,0.14,5969.0,5.85,New York,French,242,2653,9,Foodies,30-12-2021,17.164868163082566,-11.314868163082567
2742,Innovate Industries,Influencer,All Ages,15 days,Email,0.09,5347.0,3.29,Chicago,Mandarin,161,3472,10,Tech Enthusiasts,6/7/2021,21.290671418124354,-18.000671418124355
2889,DataTech Solutions,Social Media,All Ages,60 days,YouTube,0.12,5820.0,6.22,Miami,Spanish,832,5968,9,Foodies,30-11-2021,17.60431238237798,-11.384312382377981
2948,DataTech Solutions,Search,All Ages,60 days,YouTube,0.07,6151.0,3.48,Chicago,French,301,9983,8,Health & Wellness,28-01-2021,14.806206479949397,-11.326206479949397
3103,Alpha Innovations,Display,All Ages,15 days,Facebook,0.08,5055.0,2.17,New York,Mandarin,912,6850,8,Foodies,2/7/2021,18.016414650478485,-15.846414650478485
3129,Alpha Innovations,Influencer,All Ages,15 days,Facebook,0.14,5747.0,2.77,Houston,German,548,6978,9,Tech Enthusiasts,28-07-2021,17.827927277786646,-15.057927277786646
3556,DataTech Solutions,Social Media,All Ages,45 days,Google Ads,0.06,5691.0,6.05,Miami,German,148,6746,9,Tech Enthusiasts,28-09-2021,18.00335583648565,-11.953355836485649
3613,NexGen Systems,Email,All Ages,15 days,Instagram,0.07,6729.0,2.25,Miami,German,546,8767,8,Health & Wellness,24-11-2021,13.534399770867699,-11.284399770867699
3814,Innovate Industries,Email,All Ages,15 days,Facebook,0.05,6497.0,3.1,New York,Spanish,405,7080,9,Fashionistas,13-06-2021,15.769908891094328,-12.669908891094328
3918,DataTech Solutions,Email,All Ages,15 days,Email,0.05,5300.0,7.49,Houston,German,157,5001,10,Health & Wellness,25-09-2021,21.479475485417154,-13.989475485417154
3987,Alpha Innovations,Display,All Ages,15 days,Email,0.11,7590.0,2.75,New York,English,386,4702,10,Tech Enthusiasts,3/12/2021,14.99884322433609,-12.24884322433609
3996,Alpha Innovations,Search,All Ages,30 days,Website,0.06,5867.0,3.61,New York,French,199,5117,8,Foodies,12/12/2021,15.522920753054159,-11.91292075305416
4324,DataTech Solutions,Email,All Ages,30 days,Website,0.06,5636.0,5.5,Chicago,German,548,8099,9,Fashionistas,5/11/2021,18.179045079034747,-12.679045079034747
4436,DataTech Solutions,Search,All Ages,60 days,Instagram,0.07,5884.0,2.03,Houston,Mandarin,895,1617,9,Fashionistas,25-02-2021,17.412831078422816,-15.382831078422816
4450,Innovate Industries,Email,All Ages,15 days,Facebook,0.07,5123.0,2.84,Miami,English,156,8239,9,Health & Wellness,11/3/2021,19.9994335478118,-17.1594335478118
4580,DataTech Solutions,Search,All Ages,30 days,Google Ads,0.12,6438.0,2.33,Miami,English,718,1619,8,Fashionistas,19-07-2021,14.146159685953517,-11.816159685953517
4585,DataTech Solutions,Social Media,All Ages,45 days,Google Ads,0.12,6091.0,2.03,New York,English,163,2958,8,Outdoor Adventurers,24-07-2021,14.952056486318952,-12.922056486318953
4710,DataTech Solutions,Search,All Ages,45 days,Google Ads,0.12,5460.0,3.72,Miami,French,200,4688,10,Fashionistas,26-11-2021,20.85004030635731,-17.130040306357312
4822,Innovate Industries,Social Media,All Ages,60 days,Google Ads,0.06,5944.0,2.19,Chicago,German,618,3964,10,Fashionistas,18-03-2021,19.152291398504527,-16.962291398504526
4906,Alpha Innovations,Influencer,All Ages,45 days,YouTube,0.13,6141.0,4.13,New York,Mandarin,627,8324,9,Outdoor Adventurers,10/6/2021,16.684106507969364,-12.554106507969365
4912,Innovate Industries,Social Media,All Ages,45 days,Google Ads,0.05,5002.0,4.7,Chicago,Spanish,570,8222,9,Foodies,16-06-2021,20.483226322558945,-15.783226322558946
5228,Alpha Innovations,Email,All Ages,45 days,Website,0.05,5361.0,3.67,Houston,Mandarin,563,1345,9,Foodies,28-04-2021,19.111564645670555,-15.441564645670555
5276,Alpha Innovations,Display,All Ages,45 days,YouTube,0.12,5990.0,2.72,Miami,Mandarin,952,8189,9,Fashionistas,15-06-2021,17.1046908289549,-14.3846908289549
5458,DataTech Solutions,Email,All Ages,30 days,YouTube,0.09,5850.0,3.99,Chicago,Mandarin,620,5324,9,Health & Wellness,14-12-2021,17.514033857340145,-13.524033857340145
5953,Alpha Innovations,Influencer,All Ages,30 days,Google Ads,0.15,5727.0,6.94,Chicago,French,337,7749,10,Outdoor Adventurers,23-04-2021,19.877984996108072,-12.93798499610807
6011,TechCorp,Display,All Ages,45 days,Email,0.1,5930.0,7.78,Chicago,Spanish,811,8813,10,Health & Wellness,20-06-2021,19.19750760079442,-11.41750760079442
6149,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.05,6913.0,2.12,Houston,English,985,2665,10,Tech Enthusiasts,5/11/2021,16.467701442602475,-14.347701442602474
6211,NexGen Systems,Search,All Ages,15 days,Google Ads,0.07,5000.0,7.55,New York,Mandarin,489,2108,10,Fashionistas,6/1/2021,22.768244014542187,-15.218244014542186
6402,Alpha Innovations,Email,All Ages,45 days,Instagram,0.07,6202.0,3.91,Miami,Spanish,331,4752,10,Tech Enthusiasts,16-07-2021,18.355565958192667,-14.445565958192667
7705,DataTech Solutions,Search,All Ages,15 days,Instagram,0.15,5803.0,4.64,Miami,German,429,5567,9,Tech Enthusiasts,9/2/2021,17.655884553754927,-13.015884553754926
7945,Innovate Industries,Display,All Ages,30 days,YouTube,0.09,5336.0,2.88,Houston,Mandarin,826,5629,9,Outdoor Adventurers,7/10/2021,19.20110533460267,-16.32110533460267
8243,DataTech Solutions,Email,All Ages,45 days,Instagram,0.09,5212.0,7.69,Los Angeles,German,933,6873,9,Fashionistas,1/8/2021,19.65792365031463,-11.967923650314628
8337,TechCorp,Influencer,All Ages,45 days,YouTube,0.07,5033.0,3.46,New York,English,407,8509,7,Health & Wellness,3/11/2021,15.833271220126695,-12.373271220126696
8378,NexGen Systems,Email,All Ages,45 days,Email,0.13,6025.0,4.45,Chicago,German,563,5112,9,Foodies,14-12-2021,17.00532747974105,-12.555327479741052
8410,DataTech Solutions,Display,All Ages,15 days,Instagram,0.11,5520.0,6.79,Los Angeles,English,484,4825,9,Foodies,15-01-2021,18.561068490115915,-11.771068490115915
8637,Alpha Innovations,Display,All Ages,15 days,Instagram,0.15,5415.0,2.41,Chicago,French,324,9752,9,Health & Wellness,30-08-2021,18.92097840543672,-16.51097840543672
8883,DataTech Solutions,Social Media,All Ages,30 days,Facebook,0.11,5318.0,2.51,Houston,German,873,7519,9,Outdoor Adventurers,3/5/2021,19.266095913019903,-16.756095913019905
9079,NexGen Systems,Influencer,All Ages,30 days,Email,0.11,5255.0,7.36,New York,French,955,5754,9,Foodies,15-11-2021,19.49706908952233,-12.137069089522331
9337,Innovate Industries,Display,All Ages,45 days,Email,0.1,5364.0,5.68,Houston,French,665,3445,8,Fashionistas,31-07-2021,16.978556312111998,-11.298556312111998
9376,NexGen Systems,Influencer,All Ages,15 days,Instagram,0.06,5885.0,4.05,Chicago,Spanish,481,8407,10,Fashionistas,8/9/2021,19.344302476246547,-15.294302476246546
9678,Alpha Innovations,Influencer,All Ages,15 days,Website,0.05,6357.0,4.11,New York,Mandarin,836,5475,10,Tech Enthusiasts,7/7/2021,17.9080100790799,-13.798010079079901
9686,Innovate Industries,Search,All Ages,15 days,Email,0.08,5624.0,4.2,Miami,Mandarin,352,7951,10,Tech Enthusiasts,15-07-2021,20.242037708519014,-16.042037708519015
10401,Innovate Industries,Email,All Ages,15 days,Email,0.08,6195.0,3.08,Chicago,French,922,9249,10,Tech Enthusiasts,30-06-2021,18.3763067106878,-15.2963067106878
10419,NexGen Systems,Influencer,All Ages,45 days,Email,0.12,5544.0,5.69,Houston,French,454,7980,9,Outdoor Adventurers,18-07-2021,18.480717544271254,-12.790717544271253
10777,Alpha Innovations,Influencer,All Ages,30 days,Google Ads,0.1,7133.0,2.06,Houston,German,949,7864,9,Foodies,11/7/2021,14.363815794958622,-12.303815794958622
11186,DataTech Solutions,Search,All Ages,60 days,Google Ads,0.09,6225.0,2.81,Chicago,Spanish,167,7965,8,Foodies,24-08-2021,14.63019695713554,-11.82019695713554
11247,DataTech Solutions,Display,All Ages,45 days,Google Ads,0.07,5102.0,3.15,Los Angeles,Mandarin,486,4992,9,Tech Enthusiasts,24-10-2021,20.081751874841206,-16.931751874841208
11447,Alpha Innovations,Display,All Ages,15 days,Google Ads,0.11,6086.0,4.05,New York,French,420,5335,9,Tech Enthusiasts,12/5/2021,16.834883020939838,-12.784883020939837
11699,NexGen Systems,Social Media,All Ages,60 days,Email,0.06,5074.0,4.69,Los Angeles,English,704,7878,10,Fashionistas,19-01-2021,22.436188425839756,-17.746188425839755
11843,TechCorp,Social Media,All Ages,45 days,Instagram,0.08,5021.0,2.44,Los Angeles,French,906,8873,10,Fashionistas,12/6/2021,22.673017341707013,-20.23301734170701
12097,TechCorp,Display,All Ages,15 days,YouTube,0.12,7181.0,2.14,New York,German,904,1441,10,Foodies,21-02-2021,15.853115175144259,-13.713115175144258
12328,NexGen Systems,Email,All Ages,45 days,YouTube,0.15,7414.0,2.99,New York,German,657,8131,10,Tech Enthusiasts,10/10/2021,15.354898849839618,-12.364898849839618
12566,TechCorp,Email,All Ages,45 days,YouTube,0.14,5071.0,5.59,Chicago,French,376,8763,8,Fashionistas,5/6/2021,17.959569327187683,-12.369569327187683
13077,Alpha Innovations,Influencer,All Ages,60 days,YouTube,0.14,5165.0,2.02,Chicago,Spanish,579,8604,8,Health & Wellness,29-10-2021,17.632715596934897,-15.612715596934898
13379,Alpha Innovations,Social Media,All Ages,15 days,Email,0.06,5702.0,7.4,New York,Spanish,500,4880,10,Foodies,27-08-2021,19.965138560629764,-12.565138560629764
14301,Innovate Industries,Search,All Ages,15 days,Facebook,0.08,6376.0,2.3,Miami,Spanish,958,8253,9,Health & Wellness,7/3/2021,16.069181001480526,-13.769181001480526
14514,NexGen Systems,Social Media,All Ages,60 days,Email,0.1,6195.0,3.5,Houston,Mandarin,569,8485,10,Tech Enthusiasts,6/10/2021,18.3763067106878,-14.8763067106878
14526,NexGen Systems,Social Media,All Ages,30 days,Facebook,0.06,7467.0,2.83,Los Angeles,German,576,4959,10,Fashionistas,18-10-2021,15.245911352981242,-12.415911352981242
14844,NexGen Systems,Email,All Ages,30 days,Google Ads,0.11,6647.0,3.17,New York,French,773,3963,10,Fashionistas,1/9/2021,17.126706795954703,-13.956706795954704
14997,Alpha Innovations,Display,All Ages,15 days,Instagram,0.14,6270.0,4.76,Miami,Mandarin,487,1630,9,Foodies,1/2/2021,16.34084498651353,-11.580844986513531
15036,Innovate Industries,Email,All Ages,60 days,YouTube,0.05,6731.0,2.44,New York,German,127,8693,9,Fashionistas,12/3/2021,15.221675540846805,-12.781675540846805
15069,NexGen Systems,Email,All Ages,45 days,Email,0.08,6457.0,2.34,New York,Spanish,542,5938,9,Foodies,14-04-2021,15.867600753513992,-13.527600753513992
15263,Alpha Innovations,Search,All Ages,30 days,Facebook,0.05,7081.0,3.87,New York,English,801,3243,10,Health & Wellness,25-10-2021,16.076997609477605,-12.206997609477604
15634,Alpha Innovations,Search,All Ages,60 days,Website,0.14,5654.0,3.51,Los Angeles,French,892,7400,9,Foodies,31-10-2021,18.121170510336018,-14.611170510336018
15736,Alpha Innovations,Display,All Ages,15 days,Google Ads,0.15,6995.0,2.64,Miami,French,653,5622,9,Fashionistas,10/2/2021,14.647190574044295,-12.007190574044294
15842,NexGen Systems,Display,All Ages,15 days,Email,0.07,5455.0,3.21,Houston,Mandarin,415,8177,9,Fashionistas,27-05-2021,18.7822361256535,-15.5722361256535
15913,NexGen Systems,Social Media,All Ages,60 days,Google Ads,0.09,7037.0,3.37,Los Angeles,French,850,9665,10,Tech Enthusiasts,6/8/2021,16.17752168149935,-12.807521681499349
16066,DataTech Solutions,Influencer,All Ages,30 days,Google Ads,0.1,5381.0,4.23,New York,English,442,2185,10,Outdoor Adventurers,6/1/2021,21.156145711338212,-16.92614571133821
16128,Innovate Industries,Social Media,All Ages,30 days,YouTube,0.07,6669.0,4.3,Houston,Mandarin,800,9675,10,Health & Wellness,9/3/2021,17.070208437953355,-12.770208437953354
16543,NexGen Systems,Social Media,All Ages,45 days,Email,0.15,6844.0,3.67,New York,Mandarin,208,1311,9,Foodies,28-04-2021,14.970353311724116,-11.300353311724116
16549,TechCorp,Search,All Ages,15 days,Website,0.12,7204.0,4.31,Houston,Mandarin,443,2162,10,Health & Wellness,4/5/2021,15.802501398210845,-11.492501398210845
16720,Innovate Industries,Display,All Ages,60 days,YouTube,0.12,5632.0,3.11,Miami,Mandarin,342,4402,10,Tech Enthusiasts,22-10-2021,20.213284814046684,-17.103284814046685
16784,NexGen Systems,Influencer,All Ages,30 days,Email,0.08,5891.0,2.32,New York,English,233,9859,8,Outdoor Adventurers,25-12-2021,15.459680199994693,-13.139680199994693
16973,NexGen Systems,Email,All Ages,15 days,Email,0.09,5345.0,6.69,New York,German,350,4279,9,Outdoor Adventurers,2/7/2021,19.16877419372121,-12.478774193721208
17188,Innovate Industries,Display,All Ages,60 days,Google Ads,0.15,5374.0,4.27,Chicago,Spanish,725,1805,8,Foodies,2/2/2021,16.94696242243557,-12.676962422435569
17740,DataTech Solutions,Influencer,All Ages,15 days,Instagram,0.07,7102.0,2.67,Chicago,Mandarin,444,7985,10,Tech Enthusiasts,8/8/2021,16.02945931747549,-13.359459317475489
18122,Alpha Innovations,Social Media,All Ages,60 days,Website,0.15,5113.0,6.2,Chicago,English,421,7266,9,Foodies,25-08-2021,20.03854841882258,-13.83854841882258
18285,Innovate Industries,Influencer,All Ages,60 days,YouTube,0.05,6153.0,4.25,Houston,English,458,4062,9,Foodies,4/2/2021,16.65156802623758,-12.40156802623758
18657,TechCorp,Display,All Ages,15 days,YouTube,0.08,5670.0,4.7,New York,English,245,3659,10,Outdoor Adventurers,11/2/2021,20.077816591307045,-15.377816591307045
18737,NexGen Systems,Email,All Ages,15 days,Facebook,0.07,7261.0,4.36,Chicago,Mandarin,434,8182,10,Outdoor Adventurers,2/5/2021,15.67844925942858,-11.31844925942858
19453,Innovate Industries,Influencer,All Ages,45 days,Instagram,0.1,7129.0,4.68,New York,Spanish,828,5208,10,Health & Wellness,18-04-2021,15.968750185539475,-11.288750185539476
19499,TechCorp,Email,All Ages,60 days,Google Ads,0.06,5886.0,5.78,New York,English,729,4765,10,Foodies,3/6/2021,19.341015982451736,-13.561015982451735
19642,NexGen Systems,Email,All Ages,30 days,Facebook,0.06,5501.0,3.14,Miami,English,356,8432,10,Health & Wellness,24-10-2021,20.694640987586062,-17.554640987586062
19721,NexGen Systems,Search,All Ages,15 days,YouTube,0.06,5517.0,2.1,Chicago,Spanish,235,5830,9,Fashionistas,11/1/2021,18.57116151267715,-16.47116151267715
19891,Alpha Innovations,Search,All Ages,30 days,YouTube,0.1,6273.0,5.92,Chicago,Spanish,259,2571,10,Health & Wellness,30-06-2021,18.147811266174227,-12.227811266174227
20126,Innovate Industries,Display,All Ages,45 days,Instagram,0.11,6908.0,3.44,Chicago,Spanish,186,9779,10,Health & Wellness,20-02-2021,16.479620740114495,-13.039620740114495
20167,DataTech Solutions,Email,All Ages,30 days,YouTube,0.1,7479.0,3.23,Chicago,Spanish,311,5608,10,Outdoor Adventurers,2/4/2021,15.221449401351908,-11.991449401351908
20178,Alpha Innovations,Email,All Ages,60 days,Email,0.06,5598.0,7.14,Houston,French,554,6455,10,Outdoor Adventurers,13-04-2021,20.33605217447498,-13.196052174474978
20273,DataTech Solutions,Email,All Ages,30 days,Email,0.15,5238.0,4.92,Los Angeles,Spanish,579,7514,10,Outdoor Adventurers,17-07-2021,21.733718990590095,-16.813718990590097
20357,Alpha Innovations,Influencer,All Ages,45 days,YouTube,0.05,5796.0,5.6,Houston,Spanish,688,5903,9,Fashionistas,9/10/2021,17.677208085824677,-12.077208085824678
20954,DataTech Solutions,Social Media,All Ages,45 days,Google Ads,0.08,6483.0,2.14,Miami,German,116,5639,8,Outdoor Adventurers,29-05-2021,14.047967925060735,-11.907967925060735
21195,DataTech Solutions,Influencer,All Ages,30 days,Website,0.1,6292.0,3.32,New York,German,727,1563,10,Fashionistas,25-01-2021,18.093010183202626,-14.773010183202626
21311,TechCorp,Email,All Ages,15 days,Email,0.09,6015.0,6.73,Houston,English,736,7182,10,Outdoor Adventurers,21-05-2021,18.926221125970226,-12.196221125970226
21736,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.08,6114.0,5.45,New York,Mandarin,278,3904,9,Tech Enthusiasts,20-07-2021,16.757785094118393,-11.307785094118394
22028,Alpha Innovations,Search,All Ages,45 days,Facebook,0.1,5386.0,7.21,Miami,French,630,2529,9,Foodies,8/5/2021,19.022855192246535,-11.812855192246534
22090,DataTech Solutions,Email,All Ages,15 days,Email,0.07,5559.0,2.46,Los Angeles,French,488,7873,10,Fashionistas,9/7/2021,20.478722804948898,-18.018722804948897
22195,Innovate Industries,Influencer,All Ages,60 days,YouTube,0.15,5887.0,6.55,Miami,German,682,6375,10,Outdoor Adventurers,22-10-2021,19.337730605182763,-12.787730605182762
22199,Innovate Industries,Influencer,All Ages,45 days,Email,0.11,5577.0,3.96,Houston,French,228,9281,8,Fashionistas,26-10-2021,16.330101498685448,-12.370101498685447
22206,TechCorp,Display,All Ages,45 days,Facebook,0.05,5854.0,2.05,Chicago,Mandarin,623,5271,10,Foodies,2/11/2021,19.446740702547135,-17.396740702547135
22333,TechCorp,Social Media,All Ages,30 days,Google Ads,0.08,5388.0,2.59,Los Angeles,English,774,5798,8,Fashionistas,9/3/2021,16.902927998917733,-14.312927998917733
22465,TechCorp,Search,All Ages,15 days,Instagram,0.15,5496.0,5.4,Miami,English,558,3727,9,Outdoor Adventurers,19-07-2021,18.642121190946117,-13.242121190946117
22468,Innovate Industries,Social Media,All Ages,30 days,Email,0.12,6482.0,5.86,New York,Mandarin,440,1644,10,Outdoor Adventurers,22-07-2021,17.562668940560155,-11.702668940560155
22479,NexGen Systems,Email,All Ages,60 days,YouTube,0.06,5821.0,7.04,Los Angeles,French,718,9680,10,Outdoor Adventurers,2/8/2021,19.556986784523435,-12.516986784523436
22508,Alpha Innovations,Search,All Ages,60 days,Website,0.07,5916.0,3.83,Houston,English,243,8576,8,Foodies,31-08-2021,15.394350246478828,-11.564350246478828
22651,NexGen Systems,Social Media,All Ages,15 days,Website,0.15,5290.0,3.74,New York,German,876,2331,8,Fashionistas,21-01-2021,17.216063527064033,-13.476063527064033
22798,TechCorp,Email,All Ages,60 days,Facebook,0.05,5662.0,3.16,Los Angeles,English,562,9942,8,Foodies,17-06-2021,16.084948085158732,-12.924948085158732
22911,TechCorp,Social Media,All Ages,15 days,Facebook,0.08,6617.0,2.44,Miami,Spanish,426,7902,10,Foodies,8/10/2021,17.20435545907676,-14.764355459076759
22995,TechCorp,Social Media,All Ages,60 days,Website,0.1,5365.0,5.55,Miami,German,208,8313,8,Tech Enthusiasts,31-12-2021,16.975391623144223,-11.425391623144222
23215,Innovate Industries,Search,All Ages,15 days,Facebook,0.05,6198.0,2.81,New York,Spanish,322,8220,9,Health & Wellness,8/8/2021,16.530670872126468,-13.720670872126467
23399,Innovate Industries,Search,All Ages,30 days,Website,0.06,5845.0,4.42,Chicago,English,230,8688,9,Tech Enthusiasts,8/2/2021,17.52901592223094,-13.10901592223094
23554,Alpha Innovations,Email,All Ages,60 days,Website,0.1,5244.0,3.57,New York,German,638,9538,7,Tech Enthusiasts,13-07-2021,15.196196424656303,-11.626196424656303
23593,DataTech Solutions,Search,All Ages,45 days,YouTube,0.09,6580.0,2.86,New York,German,169,9645,9,Health & Wellness,21-08-2021,15.570987547939186,-12.710987547939187
23613,DataTech Solutions,Search,All Ages,60 days,Website,0.11,5006.0,4.26,Houston,Spanish,263,7219,7,Tech Enthusiasts,10/9/2021,15.918668408089824,-11.658668408089824
23855,Alpha Innovations,Display,All Ages,30 days,Facebook,0.05,6421.0,3.48,Chicago,German,171,9286,9,Tech Enthusiasts,10/5/2021,15.956564096782408,-12.476564096782408
23913,NexGen Systems,Display,All Ages,45 days,Instagram,0.1,5070.0,2.55,Houston,German,303,5752,9,Foodies,7/7/2021,20.208500604623243,-17.658500604623242
24470,Innovate Industries,Search,All Ages,45 days,Google Ads,0.13,5315.0,5.94,New York,French,621,2848,10,Fashionistas,15-01-2021,21.418856081413157,-15.478856081413156
24543,Innovate Industries,Display,All Ages,45 days,YouTube,0.14,5285.0,2.83,New York,French,765,9888,7,Fashionistas,29-03-2021,15.0783072943988,-12.2483072943988
25083,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.07,5427.0,3.12,New York,Mandarin,733,9007,10,Fashionistas,20-09-2021,20.97682330435064,-17.856823304350637
25182,NexGen Systems,Search,All Ages,30 days,Instagram,0.14,5088.0,4.61,Houston,German,788,7685,10,Outdoor Adventurers,28-12-2021,22.37445363064287,-17.76445363064287
25321,Innovate Industries,Influencer,All Ages,60 days,Google Ads,0.13,5261.0,6.57,Chicago,German,449,8097,9,Tech Enthusiasts,16-05-2021,19.474833314092347,-12.904833314092347
25565,TechCorp,Influencer,All Ages,30 days,YouTube,0.11,8170.0,2.65,New York,Mandarin,988,9847,10,Outdoor Adventurers,15-01-2021,13.9340538644689,-11.2840538644689
25587,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.05,5107.0,7.24,Los Angeles,Mandarin,824,9834,9,Outdoor Adventurers,6/2/2021,20.062090868502025,-12.822090868502025
25680,TechCorp,Search,All Ages,30 days,Facebook,0.13,7348.0,2.01,Chicago,Mandarin,957,6272,9,Foodies,10/5/2021,13.943535392683703,-11.933535392683703
25751,DataTech Solutions,Influencer,All Ages,30 days,Google Ads,0.12,7122.0,2.96,New York,French,729,2332,9,Foodies,20-07-2021,14.386000851648392,-11.426000851648393
25903,TechCorp,Social Media,All Ages,30 days,Facebook,0.06,5373.0,2.46,Chicago,German,314,2331,10,Health & Wellness,19-12-2021,21.187645649117982,-18.72764564911798
26158,TechCorp,Display,All Ages,30 days,Google Ads,0.12,6196.0,5.14,Chicago,English,583,5386,9,Outdoor Adventurers,31-08-2021,16.536006789128443,-11.396006789128442
26283,DataTech Solutions,Search,All Ages,15 days,Google Ads,0.15,6066.0,2.41,New York,German,311,9458,8,Health & Wellness,3/1/2021,15.013678875398737,-12.603678875398737
26443,NexGen Systems,Social Media,All Ages,15 days,Email,0.05,6244.0,2.4,Houston,Spanish,672,5428,9,Fashionistas,12/6/2021,16.408888223164613,-14.008888223164613
26448,Innovate Industries,Search,All Ages,30 days,YouTube,0.07,5238.0,6.84,Los Angeles,English,274,4681,10,Fashionistas,17-06-2021,21.733718990590095,-14.893718990590095
26457,Innovate Industries,Influencer,All Ages,45 days,Website,0.05,6717.0,2.38,New York,English,130,7273,10,Foodies,26-06-2021,16.948223920308312,-14.568223920308313
26665,Alpha Innovations,Search,All Ages,45 days,Instagram,0.1,5370.0,6.32,Houston,German,680,2772,10,Tech Enthusiasts,20-01-2021,21.199482322664977,-14.879482322664977
26667,TechCorp,Influencer,All Ages,45 days,YouTube,0.09,5038.0,4.12,Los Angeles,German,762,7606,8,Foodies,22-01-2021,18.077208427584107,-13.957208427584106
27692,Innovate Industries,Email,All Ages,30 days,Website,0.09,5383.0,5.91,New York,French,513,7377,10,Tech Enthusiasts,13-11-2021,21.14828535625319,-15.23828535625319
27926,Innovate Industries,Email,All Ages,60 days,YouTube,0.14,5303.0,4.92,Chicago,Mandarin,363,6256,8,Outdoor Adventurers,5/7/2021,17.173859335879452,-12.253859335879453
28581,Alpha Innovations,Influencer,All Ages,60 days,YouTube,0.06,6019.0,4.01,New York,English,773,9630,9,Foodies,21-04-2021,17.02227912700446,-13.01227912700446
28704,Innovate Industries,Display,All Ages,15 days,Facebook,0.13,5599.0,4.03,Los Angeles,German,152,7065,10,Tech Enthusiasts,22-08-2021,20.332420087999807,-16.302420087999806
28752,Alpha Innovations,Display,All Ages,60 days,Instagram,0.15,5659.0,7.71,Chicago,German,340,4028,10,Tech Enthusiasts,9/10/2021,20.116843978213627,-12.406843978213626
29000,Alpha Innovations,Social Media,All Ages,60 days,Website,0.06,6130.0,2.04,Miami,Spanish,536,9005,8,Fashionistas,14-06-2021,14.856929210141718,-12.81692921014172
29264,TechCorp,Social Media,All Ages,60 days,Facebook,0.05,5920.0,2.67,New York,French,160,7448,9,Tech Enthusiasts,5/3/2021,17.30694224078376,-14.636942240783759
